edge,persistence_obs,p_emp,zscore,qval
"('DDB2', 'PSMD14')",6,0.1217564870259481,1.6163000000622052,0.9749390108671546
"('DDB2', 'EWSR1')",6,0.27944111776447106,1.2214769464854733,0.9749390108671546
"('EWSR1', 'PSMD14')",4,0.624750499001996,0.16562237389967055,1.0
"('DDB2', 'ITPKB')",0,1.0,-2.9932824666238753,1.0
"('PEBP1', 'PSMD14')",6,0.029940119760479042,2.224064974366274,0.8383233532934131
"('PSMD14', 'YAP1')",0,1.0,-2.127589844723144,1.0
"('ITPKB', 'PSMD14')",0,1.0,-2.6220299370376434,1.0
"('SMARCA4', 'YAP1')",0,1.0,-1.9527105375721554,1.0
"('ATF7IP', 'PSMD14')",5,0.313373253493014,1.014103372072695,0.9749390108671546
"('ATF7IP', 'EWSR1')",6,0.17964071856287425,1.4498930239924253,0.9749390108671546
"('ATF7IP', 'ITPKB')",0,1.0,-2.7947741462591815,1.0
"('ATF7IP', 'DDB2')",6,0.24550898203592814,1.3255813447226132,0.9749390108671546
"('PSMD14', 'SMARCA4')",4,0.7744510978043913,-0.21784521798942824,1.0
"('DDB2', 'YAP1')",2,0.6926147704590818,0.14708710135363814,1.0
"('EWSR1', 'YAP1')",1,0.9241516966067864,-0.7342465381100864,1.0
"('PEBP1', 'YAP1')",1,0.9640718562874252,-1.1849962165491845,1.0
"('DDB2', 'PEBP1')",5,0.5089820359281437,0.5841791457642667,1.0
"('EWSR1', 'PEBP1')",4,0.8183632734530938,-0.39819362605742836,1.0
"('EWSR1', 'SMARCA4')",6,0.09381237524950099,1.8056168106603294,0.9749390108671546
"('DDB2', 'SMARCA4')",6,0.2435129740518962,1.3059018907636863,0.9749390108671546
"('PEBP1', 'SMARCA4')",5,0.5409181636726547,0.43394814620656214,1.0
"('ITPKB', 'YAP1')",1,0.93812375249501,-0.7345077908520377,1.0
"('ATF7IP', 'YAP1')",2,0.7085828343313373,0.07528819499578387,1.0
"('ITPKB', 'PEBP1')",1,0.9960079840319361,-1.8902960023459578,1.0
"('ITPKB', 'SMARCA4')",4,0.37325349301397204,0.913176769324672,1.0
"('ATF7IP', 'PEBP1')",5,0.45109780439121755,0.7574416695586086,1.0
"('ATF7IP', 'SMARCA4')",6,0.2774451097804391,1.239590633856927,0.9749390108671546
"('EWSR1', 'ITPKB')",3,0.592814371257485,0.28260041762841914,1.0
