edge,persistence_obs,p_emp,zscore,qval
"('ATP13A2', 'GBA')",1,0.8842315369261478,-0.7436353318835129,1.0
"('GIGYF2', 'PRKN')",0,1.0,-1.7992584785190557,1.0
"('GIGYF2', 'LRRK2')",0,1.0,-1.6355343030862841,1.0
"('GBA', 'VPS35')",4,0.3992015968063872,0.6997603307572707,0.9314703925482368
"('DNAJC6', 'GIGYF2')",5,0.6127744510978044,0.3442969320803382,1.0
"('DNAJC13', 'PINK1')",0,1.0,-1.3171682930316873,1.0
"('ATP13A2', 'PLA2G6')",0,1.0,-2.5334519300860467,1.0
"('EIF4G1', 'SNCA')",5,0.4411177644710579,0.6743491174029199,0.9854758567970442
"('PINK1', 'VPS35')",0,1.0,-1.4737031229821131,1.0
"('DNAJC13', 'GBA')",0,1.0,-2.43597546883695,1.0
"('PRKN', 'SYNJ1')",5,0.021956087824351298,2.6419001111380873,0.3293413173652695
"('DNAJC13', 'VPS35')",6,0.25349301397205587,1.2447518285282837,0.6636726546906188
"('ATP13A2', 'FBXO7')",0,1.0,-1.2152160234876956,1.0
"('DNAJC6', 'PRKN')",0,1.0,-1.8615722817367908,1.0
"('DNAJC13', 'FBXO7')",0,1.0,-1.5520816790024938,1.0
"('LRRK2', 'SNCA')",0,1.0,-1.4044009089255924,1.0
"('FBXO7', 'SNCA')",0,1.0,-1.358554032012391,1.0
"('GBA', 'GIGYF2')",0,1.0,-2.2752767597059322,1.0
"('HTRA2', 'VPS35')",6,0.29141716566866266,1.2104031225780347,0.7116000557025484
"('ATP13A2', 'PINK1')",0,1.0,-1.1670938714566643,1.0
"('EIF4G1', 'HTRA2')",6,0.25948103792415167,1.2520467476045354,0.6636726546906188
"('HTRA2', 'PRKN')",1,0.9321357285429142,-1.0002515286393152,1.0
"('HTRA2', 'LRRK2')",0,1.0,-1.869871515271221,1.0
"('DNAJC13', 'GIGYF2')",6,0.2275449101796407,1.2608806201214833,0.6636726546906188
"('PLA2G6', 'SYNJ1')",0,1.0,-3.6085678523323304,1.0
