GCKR GRB14 0.39423 20-29
GCKR COBLL1 0.80092 20-29
GCKR HSD17B13 0.00044 20-29
GCKR TOR1B 0.42279 20-29
GCKR SREBF1 0.15327 20-29
GCKR INSR 0.03267 20-29
GCKR TM6SF2 0.79879 20-29
GCKR MBOAT7 0.47244 20-29
GCKR PNPLA3 0.00329 20-29
GRB14 COBLL1 0.34881 20-29
GRB14 HSD17B13 0.52385 20-29
GRB14 TOR1B 0.92785 20-29
GRB14 SREBF1 0.75669 20-29
GRB14 INSR 0.59542 20-29
GRB14 TM6SF2 0.61309 20-29
GRB14 MBOAT7 0.75173 20-29
GRB14 PNPLA3 0.63812 20-29
COBLL1 HSD17B13 0.85844 20-29
COBLL1 TOR1B 0.72016 20-29
COBLL1 SREBF1 0.79199 20-29
COBLL1 INSR 0.64832 20-29
COBLL1 TM6SF2 0.23472 20-29
COBLL1 MBOAT7 0.67159 20-29
COBLL1 PNPLA3 0.78316 20-29
HSD17B13 TOR1B 0.37733 20-29
HSD17B13 SREBF1 0.16111 20-29
HSD17B13 INSR 0.01085 20-29
HSD17B13 TM6SF2 0.84419 20-29
HSD17B13 MBOAT7 0.36928 20-29
HSD17B13 PNPLA3 0.00034 20-29
TOR1B SREBF1 0.05448 20-29
TOR1B INSR 0.25856 20-29
TOR1B TM6SF2 0.34553 20-29
TOR1B MBOAT7 0.47451 20-29
TOR1B PNPLA3 0.51758 20-29
SREBF1 INSR 0.11225 20-29
SREBF1 TM6SF2 0.82352 20-29
SREBF1 MBOAT7 0.91854 20-29
SREBF1 PNPLA3 0.2331 20-29
INSR TM6SF2 0.81341 20-29
INSR MBOAT7 0.37179 20-29
INSR PNPLA3 0.01359 20-29
TM6SF2 MBOAT7 0.34573 20-29
TM6SF2 PNPLA3 0.96978 20-29
MBOAT7 PNPLA3 0.2105 20-29
GCKR GRB14 0.30374 30-39
GCKR COBLL1 0.64439 30-39
GCKR HSD17B13 5e-05 30-39
GCKR TOR1B 0.42629 30-39
GCKR SREBF1 0.01363 30-39
GCKR INSR 0.77801 30-39
GCKR TM6SF2 0.52251 30-39
GCKR MBOAT7 0.19138 30-39
GCKR PNPLA3 6e-05 30-39
GRB14 COBLL1 0.18654 30-39
